School ID,School Name,Latitude,Longitude,Student Count,Low Income Student Count,Graduation Rate,Atttendance Rate Current Year,Address State,Address Street,Address Zip Code,Is High School,Is Middle School,Is Elementarty School,Is Pre School
400022,Chicago High School for the Arts (ChiArts),41.899377,-87.694945,554,326,85.6,90.6,Illinois,2714 W AUGUSTA Blvd,60622,True,False,False,False
400149,Acero Charter Schools - Victoria Soto,41.801762,-87.711025,540,533,90.8,83.0,Illinois,5025 S ST LOUIS Ave,60632,True,False,False,False
609961,Ninos Heroes Elementary Academic Center,41.743753,-87.551862,319,284,,88.1,Illinois,8344 S COMMERCIAL Ave,60617,False,True,True,True
400129,YCCS-Progressive Leadership Academy,41.773962,-87.61574,139,113,,62.0,Illinois,6620 S DR MARTIN LUTHER KING JR Dr,60637-3210,True,False,False,False
400094,EPIC Academy Charter High School,41.744849,-87.550222,239,227,77.9,80.0,Illinois,8255 S HOUSTON Ave,60617,True,False,False,False
609679,Charles Allen Prosser Career Academy High School,41.920059,-87.761048,1150,1032,84.7,82.0,Illinois,2148 N LONG Ave,60639,True,False,False,False
610090,Phillip Murray Elementary Language Academy,41.798535,-87.59334,464,293,,91.8,Illinois,5335 S KENWOOD Ave,60615,False,True,True,False
400127,YCCS-Austin Career Education Center HS,41.894976,-87.760221,0,0,,,Illinois,5352 W CHICAGO Ave,60651,True,False,False,False
400178,Moving Everest Charter School,41.888259,-87.755281,739,672,,89.3,Illinois,416 N LARAMIE Ave,60644-1906,False,True,True,False
610176,John D Shoop Math-Science Technical Academy ES,41.690919,-87.658669,516,479,,92.3,Illinois,11140 S BISHOP St,60643,False,True,True,True
610163,Frederick Stock Elementary School,42.016892,-87.814195,230,48,,,Illinois,7507 W BIRCHWOOD Ave,60631,False,False,False,True
609819,Edmond Burke Elementary School,41.79676,-87.616141,342,322,,83.9,Illinois,5356 S KING Dr,60615,False,True,True,True
400089,Acero Charter Schools - Officer Donald J. Marquez,41.808309,-87.697394,512,479,,92.1,Illinois,2916 W 47TH St,60632,False,True,True,False
609851,Thomas Chalmers STEAM Elementary School,41.866435,-87.695259,204,202,,96.5,Illinois,2745 W ROOSEVELT Rd,60608,False,True,True,True
