,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,puma,neighborhood
155,400156,Noble - Butler College Prep,41.706667,-87.602573,648,True,False,False,False,85.9,89.9,821 E 103RD St,Illinois,60628,,0050
156,609712,Emil G Hirsch Metropolitan High School,41.753748,-87.601727,101,True,False,False,False,72.4,54.2,7740 S INGLESIDE Ave,Illinois,60619,,0069
157,609796,Jean Baptiste Beaubien Elementary School,41.972394,-87.757565,1001,False,True,True,True,92.4,,5025 N LARAMIE Ave,Illinois,60630,,0011
158,610364,William E B Dubois Elementary School,41.653733,-87.61432,198,False,True,True,True,91.9,,330 E 133RD St,Illinois,60827,,0054
159,610572,Safe Achieve Academy Elementary,41.753117,-87.550513,5,False,True,False,True,77.7,,7877 S COLES Ave,Illinois,60649-4817,,0043
160,609809,Lorenz Brentano Math & Science Academy ES,41.930966,-87.696294,768,False,True,True,True,91.8,,2723 N FAIRFIELD Ave,Illinois,60647,,0022
161,610513,Air Force Academy High School,41.828145,-87.632757,130,True,False,False,False,86.9,90.0,3630 S WELLS St,Illinois,60609,,0034
162,400081,Acero Charter Schools - Bartolomé de las Casas,41.859504,-87.667949,179,False,True,False,True,91.0,,1641 W 16TH St,Illinois,60608,,0028
163,609887,Arthur Dixon Elementary School,41.743669,-87.609979,425,False,True,True,True,92.6,,8306 S SAINT LAWRENCE Ave,Illinois,60619,,0044
164,609674,Chicago Vocational Career Academy High School,41.737174,-87.573268,591,True,False,False,False,80.6,78.1,2100 E 87TH St,Illinois,60617,,0045
165,609922,Belmont-Cragin Elementary School,41.92095,-87.757343,529,False,True,True,True,91.4,,6112 W FULLERTON Ave,Illinois,60639-2705,,0019
166,610097,William P Nixon Elementary School,41.919581,-87.73142,686,False,False,True,True,90.1,,2121 N KEELER Ave,Illinois,60639,,0020
167,610048,George Manierre Elementary School,41.908247,-87.639827,276,False,True,True,True,82.3,,1420 N HUDSON Ave,Illinois,60610,,0008
168,610032,Wendell E Green Elementary School,41.719292,-87.6525,268,False,True,True,True,91.9,,1150 W 96TH St,Illinois,60643,,0073
169,400144,YCCS-West HS,41.90224,-87.74881,96,True,False,False,False,63.6,,4909 W DIVISION St,Illinois,60651,,0025
170,610063,Cyrus H McCormick Elementary School,41.842267,-87.7063,482,False,False,True,True,91.5,,2712 S SAWYER Ave,Illinois,60623,,0030
171,609872,Manuel Perez Elementary School,41.856029,-87.65798,294,False,True,True,True,92.8,,1241 W 19TH St,Illinois,60608,,0031
172,609997,Oliver Wendell Holmes Elementary School,41.793788,-87.649795,170,False,True,True,True,87.4,,955 W GARFIELD Blvd,Illinois,60621,,0068
173,610206,Mark Twain Elementary School,41.799046,-87.758928,859,False,True,True,True,91.9,,5134 S LOTUS Ave,Illinois,60638,,0056
174,610316,Amelia Earhart Options for Knowledge ES,41.726107,-87.582182,195,False,True,False,True,94.6,,1710 E 93RD St,Illinois,60617,,0048
175,610141,Ravenswood Elementary School,41.960746,-87.670922,518,False,True,True,True,92.7,,4332 N PAULINA St,Illinois,60613,,0006
176,610017,Maria Saucedo STEAM Magnet Academy,41.847941,-87.697316,925,False,True,True,True,90.2,,2850 W 24TH Blvd,Illinois,60623,,0030
177,400028,CICS - Prairie,41.684433,-87.616888,420,False,True,False,True,89.5,,11530 S PRAIRIE Ave,Illinois,60628,,0053
178,610093,Jane A Neil Elementary School,41.738407,-87.620933,250,False,True,True,True,87.9,,8555 S MICHIGAN Ave,Illinois,60619,,0044
179,610533,Dr Jorge Prieto Math and Science,41.921318,-87.765781,738,False,True,True,True,91.6,,2231 N CENTRAL Ave,Illinois,60639,,0019
180,609879,Charles Gates Dawes Elementary School,41.745078,-87.717353,938,False,True,True,True,91.0,,3810 W 81ST Pl,Illinois,60652,,0070
181,609853,Salmon P Chase Elementary School,41.917993,-87.694562,420,False,True,True,True,90.7,,2021 N POINT St,Illinois,60647,,0022
182,610524,Louisa May Alcott College Preparatory HS,41.935795,-87.680562,344,True,False,False,False,86.6,91.5,2957 N HOYNE Ave,Illinois,60618-8208,,0005
183,400022,Chicago High School for the Arts (ChiArts),41.899377,-87.694945,554,True,False,False,False,90.6,85.6,2714 W AUGUSTA Blvd,Illinois,60622,,0024
184,400149,Acero Charter Schools - Victoria Soto,41.801762,-87.711025,540,True,False,False,False,83.0,90.8,5025 S ST LOUIS Ave,Illinois,60632,,0063
185,609961,Ninos Heroes Elementary Academic Center,41.743753,-87.551862,319,False,True,True,True,88.1,,8344 S COMMERCIAL Ave,Illinois,60617,,0046
186,400129,YCCS-Progressive Leadership Academy,41.773962,-87.61574,139,True,False,False,False,62.0,,6620 S DR MARTIN LUTHER KING JR Dr,Illinois,60637-3210,,0069
187,400094,EPIC Academy Charter High School,41.744849,-87.550222,239,True,False,False,False,80.0,77.9,8255 S HOUSTON Ave,Illinois,60617,,0046
