,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,status_as_of_2024,year,dropout_rate,num_dropouts,total_students_dropout,adjusted_students,puma,neighborhood
31,609761,CORLISS HS,41.70666,-87.601216,377.0,True,False,False,False,78.4,79.2,821 E 103RD St,Illinois,60628,,2023,2.1,6,333,286,03167,
32,610561,CRANE MEDICAL HS,41.876947,-87.683301,283.0,True,False,False,False,73.8,83.0,2245 W JACKSON Blvd,Illinois,60612,,2023,1.4,4,312,296,03159,
33,609756,CURIE HS,41.80306,-87.722042,2815.0,True,False,False,False,77.6,77.4,4959 S ARCHER Ave,Illinois,60632,,2023,3.9,114,3006,2936,03164,
34,610402,DEVRY HS,41.941388,-87.690761,150.0,True,False,False,False,88.6,,1900 W LAWRENCE Ave,Illinois,60640-4003,,2023,0,0,131,129,03152,
35,610564,DISNEY II HS,41.952488,-87.721364,714.0,True,True,False,False,84.4,90.0,3900 N LAWNDALE Ave,Illinois,60618,,2023,0.5,3,592,560,03155,
36,610245,DOUGLASS HS,41.890369,-87.767668,26.0,True,False,False,False,75.4,,543 N WALLER Ave,Illinois,60644,,2023,10.5,4,39,38,03158,
37,609676,DUNBAR HS,41.840226,-87.617637,318.0,True,False,False,False,64.7,81.8,3000 S KING Dr,Illinois,60616,,2023,4.3,19,461,440,03161,
38,610587,DYETT ARTS HS,41.801204,-87.612239,510.0,True,False,False,False,79.5,87.4,555 E 51ST ,Illinois,60615-2452,,2023,1.3,7,565,532,03161,
39,610592,ENGLEWOOD STEM HS,41.770251,-87.639061,604.0,True,False,False,False,71.5,,6835 S NORMAL ,Illinois,60621-2535,,2023,5.8,46,857,788,03165,
40,400094,EPIC HS,41.744849,-87.550222,240.0,True,False,False,False,80.0,77.9,8255 S HOUSTON Ave,Illinois,60617,,2023,16.4,62,379,377,03168,
41,610565,EXCEL ENGLEWOOD HS,41.763896,-87.649124,261.0,True,True,False,False,70.7,23.3,7141 S MORGAN ,Illinois,60621-5000,,2023,32.2,102,322,317,03165,
42,400175,EXCEL SOUTH SHORE HS,41.759749,-87.556487,221.0,True,False,False,False,70.7,20.0,7530 S SOUTH SHORE Dr,Illinois,60649,,2023,33.7,97,293,288,03168,
43,400176,EXCEL SOUTHWEST HS,41.765929,-87.69073,182.0,True,True,False,False,73.8,46.7,7050 S WASHTENAW Ave,Illinois,60629-1924,,2023,43.1,88,209,204,03165,
44,609704,FARRAGUT HS,41.84856,-87.708706,413.0,True,False,False,False,70.4,77.6,2345 S CHRISTIANA Ave,Illinois,60623,,2023,2.7,13,540,482,03163,
45,609705,FENGER HS,41.689951,-87.637572,213.0,True,False,False,False,76.3,58.1,11220 S WALLACE St,Illinois,60628,,2023,8.7,24,319,277,03167,
46,609708,FOREMAN HS,41.939797,-87.754167,581.0,True,False,False,False,73.9,66.7,3235 N LECLAIRE Ave,Illinois,60641,,2023,6.3,41,691,654,03156,
47,609709,GAGE PARK HS,41.791013,-87.688954,332.0,True,False,False,False,83.0,75.0,5630 S ROCKWELL St,Illinois,60629,,2023,0.9,3,387,331,03163,
48,610558,GOODE HS,41.75375,-87.707345,898.0,True,False,False,False,85.7,94.9,7651 S HOMAN Ave,Illinois,60652,,2023,1.1,10,978,949,03164,
49,609769,GRAHAM HS,41.849675,-87.625315,252.0,True,False,False,False,78.6,,2347 S WABASH Ave,Illinois,60616,,2023,2.7,7,265,263,03160,
50,609694,HANCOCK HS,41.791464,-87.72447,1037.0,True,False,False,False,92.1,97.0,5437 W 64TH Pl,Illinois,60638-5681,,2023,0.3,3,1015,1002,03164,
51,609710,HARLAN HS,41.718372,-87.620623,172.0,True,False,False,False,66.2,75.3,9652 S MICHIGAN Ave,Illinois,60628,,2023,5.1,14,320,274,03167,
52,609712,HIRSCH HS,41.753748,-87.601727,101.0,True,False,False,False,72.4,54.2,7740 S INGLESIDE Ave,Illinois,60619,,2023,10.8,13,147,120,03165,
53,400167,HORIZON - SOUTHWEST,41.795201,-87.683963,707.0,True,True,False,True,91.8,89.3,5401 S WESTERN Ave,Illinois,60609,,2023,1.1,2,204,188,03163,
54,609741,HUBBARD HS,41.780526,-87.718014,1528.0,True,False,False,False,80.3,85.4,6200 S HAMLIN Ave,Illinois,60629,,2023,5.5,95,1759,1742,03164,
55,609713,HYDE PARK HS,41.782257,-87.586615,737.0,True,False,False,False,77.4,84.9,6220 S STONY ISLAND Ave,Illinois,60637,,2023,2.1,15,769,705,03161,
56,610384,INFINITY HS,41.836169,-87.735278,405.0,True,False,False,False,89.3,92.6,3120 S KOSTNER Ave,Illinois,60623,,2023,1.5,6,433,413,03163,
57,400104,INSTITUTO - HEALTH,41.845967,-87.68724,545.0,True,False,False,False,75.0,87.6,2520 S WESTERN Ave,Illinois,60608,,2023,1.5,9,653,619,03162,
58,400164,INSTITUTO - JUSTICE HS,41.845957,-87.685903,131.0,True,False,False,False,43.1,,2570 S BLUE ISLAND Ave,Illinois,60608-4817,,2023,29.3,43,148,147,03162,
59,400162,INTRINSIC HS,41.938988,-87.741129,968.0,True,True,False,False,88.6,92.9,4540 W BELMONT Ave,Illinois,60641,,2023,0.6,4,718,673,03155,
60,609678,JONES HS,41.873066,-87.627675,1918.0,True,False,False,False,89.2,96.8,700 S STATE St,Illinois,60605,,2023,0.4,8,1984,1942,03160,
61,609764,JUAREZ HS,41.852667,-87.663732,1480.0,True,False,False,False,76.4,86.6,1450 W CERMAK Rd,Illinois,60608-4408,,2023,3.8,61,1660,1616,03162,
62,609762,JULIAN HS,41.705859,-87.653749,402.0,True,False,False,False,74.1,72.9,10330 S ELIZABETH St,Illinois,60643,,2023,8.6,40,473,466,03166,
63,609715,KELLY HS,41.818729,-87.694639,1596.0,True,False,False,False,78.6,77.1,4136 S CALIFORNIA Ave,Illinois,60632,,2023,3.2,56,1850,1751,03163,
64,609716,KELVYN PARK HS,41.927918,-87.735999,551.0,True,True,False,False,74.3,65.5,4343 W WRIGHTWOOD Ave,Illinois,60639,,2023,4.8,19,432,398,03157,
65,609718,KENNEDY HS,41.789961,-87.78084,1508.0,True,False,False,False,79.9,81.5,6325 W 56TH St,Illinois,60638,,2023,5.7,97,1783,1700,03164,
66,609746,KENWOOD HS,41.803772,-87.590421,2202.0,True,True,False,False,88.6,94.4,5015 S BLACKSTONE Ave,Illinois,60615,,2023,1.5,30,2113,2025,03161,
67,609751,KING HS,41.813675,-87.603874,784.0,True,False,False,False,90.9,91.4,4445 S DREXEL Blvd,Illinois,60653,,2023,1,6,611,577,03161,
68,609719,LAKE VIEW HS,41.954764,-87.668953,1329.0,True,False,False,False,79.0,83.0,4015 N ASHLAND Ave,Illinois,60613,,2023,1.6,21,1427,1330,03154,
69,609720,LANE TECH HS,41.946645,-87.691013,4561.0,True,True,False,False,90.8,97.4,2501 W ADDISON St,Illinois,60618,,2023,0.2,8,4276,4201,03152,
70,400119,LEGAL PREP HS,41.881733,-87.733778,197.0,True,False,False,False,78.1,81.0,4319 W WASHINGTON Blvd,Illinois,60624-2232,,2023,2.5,6,260,240,03158,
71,609738,LINCOLN PARK HS,41.918268,-87.646009,2164.0,True,False,False,False,84.6,84.8,2001 N ORCHARD St,Illinois,60614,,2023,6.5,144,2240,2202,03154,
